Fonte;Classe;Tipo;Agrupador;Composicao;UNIDADE;ORIGEM DE PREÇO;CUSTO TOTAL;VINCULO;Codigo
1;ASTU ASSENTAMENTO DE TUBOS E PECAS;0045 FORNEC E/OU ASSENT DE TUBO DE FERRO FUNDIDO JUNTA ELASTICA;;97141 ASSENTAMENTO DE TUBO DE FERRO FUNDIDO PARA REDE DE ÁGUA, DN 80 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL ALTO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF 11/2017;M;COEFICIENTE DE REPRESENTATIVIDADE;7,25;CAIXA REFERENCIAL;ASTU 0045.97141
1;ASTU ASSENTAMENTO DE TUBOS E PECAS;0045 FORNEC E/OU ASSENT DE TUBO DE FERRO FUNDIDO JUNTA ELASTICA;;97142 ASSENTAMENTO DE TUBO DE FERRO FUNDIDO PARA REDE DE ÁGUA, DN 100 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL ALTO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF 11/2017;M;COEFICIENTE DE REPRESENTATIVIDADE;8,15;CAIXA REFERENCIAL;ASTU 0045.97142
1;ASTU ASSENTAMENTO DE TUBOS E PECAS;0045 FORNEC E/OU ASSENT DE TUBO DE FERRO FUNDIDO JUNTA ELASTICA;;97143 ASSENTAMENTO DE TUBO DE FERRO FUNDIDO PARA REDE DE ÁGUA, DN 150 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL ALTO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF 11/2017;M;COEFICIENTE DE REPRESENTATIVIDADE;10,34;CAIXA REFERENCIAL;ASTU 0045.97143
1;ASTU ASSENTAMENTO DE TUBOS E PECAS;0045 FORNEC E/OU ASSENT DE TUBO DE FERRO FUNDIDO JUNTA ELASTICA;;97144 ASSENTAMENTO DE TUBO DE FERRO FUNDIDO PARA REDE DE ÁGUA, DN 200 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL ALTO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF 11/2017;M;COEFICIENTE DE REPRESENTATIVIDADE;12,52;CAIXA REFERENCIAL;ASTU 0045.97144
1;ASTU ASSENTAMENTO DE TUBOS E PECAS;0045 FORNEC E/OU ASSENT DE TUBO DE FERRO FUNDIDO JUNTA ELASTICA;;97145 ASSENTAMENTO DE TUBO DE FERRO FUNDIDO PARA REDE DE ÁGUA, DN 250 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL ALTO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF 11/2017;M;COEFICIENTE DE REPRESENTATIVIDADE;14,73;CAIXA REFERENCIAL;ASTU 0045.97145
1;ASTU ASSENTAMENTO DE TUBOS E PECAS;0045 FORNEC E/OU ASSENT DE TUBO DE FERRO FUNDIDO JUNTA ELASTICA;;97146 ASSENTAMENTO DE TUBO DE FERRO FUNDIDO PARA REDE DE ÁGUA, DN 300 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL ALTO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF 11/2017;M;COEFICIENTE DE REPRESENTATIVIDADE;16,93;CAIXA REFERENCIAL;ASTU 0045.97146
1;ASTU ASSENTAMENTO DE TUBOS E PECAS;0045 FORNEC E/OU ASSENT DE TUBO DE FERRO FUNDIDO JUNTA ELASTICA;;97147 ASSENTAMENTO DE TUBO DE FERRO FUNDIDO PARA REDE DE ÁGUA, DN 350 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL ALTO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF 11/2017;M;COEFICIENTE DE REPRESENTATIVIDADE;19,13;CAIXA REFERENCIAL;ASTU 0045.97147
1;ASTU ASSENTAMENTO DE TUBOS E PECAS;0045 FORNEC E/OU ASSENT DE TUBO DE FERRO FUNDIDO JUNTA ELASTICA;;97148 ASSENTAMENTO DE TUBO DE FERRO FUNDIDO PARA REDE DE ÁGUA, DN 400 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL ALTO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF 11/2017;M;COEFICIENTE DE REPRESENTATIVIDADE;21,34;CAIXA REFERENCIAL;ASTU 0045.97148
1;ASTU ASSENTAMENTO DE TUBOS E PECAS;0045 FORNEC E/OU ASSENT DE TUBO DE FERRO FUNDIDO JUNTA ELASTICA;;97149 ASSENTAMENTO DE TUBO DE FERRO FUNDIDO PARA REDE DE ÁGUA, DN 450 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL ALTO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF 11/2017;M;COEFICIENTE DE REPRESENTATIVIDADE;23,57;CAIXA REFERENCIAL;ASTU 0045.97149
1;ASTU ASSENTAMENTO DE TUBOS E PECAS;0045 FORNEC E/OU ASSENT DE TUBO DE FERRO FUNDIDO JUNTA ELASTICA;;97150 ASSENTAMENTO DE TUBO DE FERRO FUNDIDO PARA REDE DE ÁGUA, DN 500 MM, JUNTA ELÁSTICA, INSTALADO EM LOCAL COM NÍVEL ALTO DE INTERFERÊNCIAS (NÃO INCLUI FORNECIMENTO). AF 11/2017;M;ATRIBUÍDO SÃO PAULO;28,32;CAIXA REFERENCIAL;ASTU 0045.97150
