,id,ID_empresa,categoria,familia,item,desonerado,CODIGO,Descr_codigo,UNID,PRECO
1,1,2,"01 - SERVIÇOS DE ESCRITÓRIO, LABORATÓRIO E CAMPO",001 - Ensaios e Pesquisas em Solo,0001 - LIMITE DE PLASTICIDADE,FALSE,01.001.0001-0,LIMITE DE PLASTICIDADE,UN,147.68
2,2,2,"01 - SERVIÇOS DE ESCRITÓRIO, LABORATÓRIO E CAMPO",001 - Ensaios e Pesquisas em Solo,0001 - LIMITE DE PLASTICIDADE,TRUE,01.001.0001-A,LIMITE DE PLASTICIDADE,UN,134.57
3,3,2,"01 - SERVIÇOS DE ESCRITÓRIO, LABORATÓRIO E CAMPO",001 - Ensaios e Pesquisas em Solo,0002 - LIMITE DE LIQUIDEZ,FALSE,01.001.0002-0,LIMITE DE LIQUIDEZ,UN,147.68
4,4,2,"01 - SERVIÇOS DE ESCRITÓRIO, LABORATÓRIO E CAMPO",001 - Ensaios e Pesquisas em Solo,0002 - LIMITE DE LIQUIDEZ,TRUE,01.001.0002-A,LIMITE DE LIQUIDEZ,UN,134.57
5,5,2,"01 - SERVIÇOS DE ESCRITÓRIO, LABORATÓRIO E CAMPO",001 - Ensaios e Pesquisas em Solo,0003 - LIMITE DE CONTRACAO,FALSE,01.001.0003-0,LIMITE DE CONTRACAO,UN,86.21
6,6,2,"01 - SERVIÇOS DE ESCRITÓRIO, LABORATÓRIO E CAMPO",001 - Ensaios e Pesquisas em Solo,0003 - LIMITE DE CONTRACAO,TRUE,01.001.0003-A,LIMITE DE CONTRACAO,UN,78.56
7,7,2,"01 - SERVIÇOS DE ESCRITÓRIO, LABORATÓRIO E CAMPO",001 - Ensaios e Pesquisas em Solo,0004 - ANALISE GRANULOMETRICA SEM SEDIMENTACAO (PENEIRAMENTO),FALSE,01.001.0004-0,ANALISE GRANULOMETRICA SEM SEDIMENTACAO (PENEIRAMENTO),UN,166.54
8,8,2,"01 - SERVIÇOS DE ESCRITÓRIO, LABORATÓRIO E CAMPO",001 - Ensaios e Pesquisas em Solo,0004 - ANALISE GRANULOMETRICA SEM SEDIMENTACAO (PENEIRAMENTO),TRUE,01.001.0004-A,ANALISE GRANULOMETRICA SEM SEDIMENTACAO (PENEIRAMENTO),UN,151.76
9,9,2,"01 - SERVIÇOS DE ESCRITÓRIO, LABORATÓRIO E CAMPO",001 - Ensaios e Pesquisas em Solo,0005 - ANALISE GRANULOMETRICA COM SEDIMENTACAO,FALSE,01.001.0005-0,ANALISE GRANULOMETRICA COM SEDIMENTACAO,UN,386.6
10,10,2,"01 - SERVIÇOS DE ESCRITÓRIO, LABORATÓRIO E CAMPO",001 - Ensaios e Pesquisas em Solo,0005 - ANALISE GRANULOMETRICA COM SEDIMENTACAO,TRUE,01.001.0005-A,ANALISE GRANULOMETRICA COM SEDIMENTACAO,UN,352.27
